Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1605830400,11/20/2020,BTCKRW,19799000,20151000,19753000,20072000,1249.42,24979310990
1605744000,11/19/2020,BTCKRW,19713000,20026000,19379000,19799000,4439,87794614307
1605657600,11/18/2020,BTCKRW,19350000,20300000,19058000,19713000,7801.08,1.53843E+11
1605571200,11/17/2020,BTCKRW,18264000,19411000,18179000,19350000,4521.85,84755815680
1605484800,11/16/2020,BTCKRW,17679000,18440000,17560000,18264000,3595.27,64773321084
1605398400,11/15/2020,BTCKRW,17792000,17824000,17531000,17679000,1813.6,32076294124
1605312000,11/14/2020,BTCKRW,17976000,17986000,17444000,17792000,2528.04,44713945142
1605225600,11/13/2020,BTCKRW,17969000,18230000,17670000,17976000,4081.83,73523728168
1605139200,11/12/2020,BTCKRW,17405000,17991000,17203000,17969000,4833.1,85163313335
1605052800,11/11/2020,BTCKRW,17015000,17556000,16994000,17405000,3473.26,59863347676
1604966400,11/10/2020,BTCKRW,17102000,17198000,16825000,17015000,2563.82,43678681021
1604880000,11/9/2020,BTCKRW,17295000,17520000,16674000,17102000,3896.5,66723470093
1604793600,11/8/2020,BTCKRW,16650000,17399000,16532000,17295000,2921.81,49659485634
1604707200,11/7/2020,BTCKRW,17385000,17590000,16205000,16650000,4218.59,71930322230
1604620800,11/6/2020,BTCKRW,17376000,17780000,17068000,17385000,5684.76,99124517726
1604534400,11/5/2020,BTCKRW,15962000,17554000,15894000,17376000,6856.03,1.13876E+11
1604448000,11/4/2020,BTCKRW,15861000,16000000,15443000,15962000,4024.62,63376980116
1604361600,11/3/2020,BTCKRW,15399000,15873000,15156000,15861000,3174.09,49018773301
1604275200,11/2/2020,BTCKRW,15560000,15635000,15013000,15399000,3171.25,48762289063
1604188800,11/1/2020,BTCKRW,15620000,15717000,15455000,15560000,1843.66,28715927384
1604102400,10/31/2020,BTCKRW,15338000,15801000,15230000,15620000,3260.77,50661164122
1604016000,10/30/2020,BTCKRW,15202000,15434000,14883000,15338000,2807.19,42538539190
1603929600,10/29/2020,BTCKRW,15062000,15350000,14700000,15202000,2453.43,36863268633
1603843200,10/28/2020,BTCKRW,15291000,15541000,14585000,15062000,4746.91,72007068184
1603756800,10/27/2020,BTCKRW,14746000,15450000,14687000,15291000,4356.63,65365621379
1603670400,10/26/2020,BTCKRW,14688000,14885000,14493000,14746000,3559.61,52365911618
1603584000,10/25/2020,BTCKRW,14753000,14992000,14552000,14688000,2337.82,34449748337
1603497600,10/24/2020,BTCKRW,14565000,14763000,14523000,14753000,1925.65,28202106697
1603411200,10/23/2020,BTCKRW,14575000,14615000,14364000,14565000,2711.64,39370526310
1603324800,10/22/2020,BTCKRW,14408000,14763000,14324000,14575000,4380.43,63528357266
1603238400,10/21/2020,BTCKRW,13644000,14797000,13614000,14408000,5802.77,81992560535
1603152000,10/20/2020,BTCKRW,13398000,13761000,13327000,13644000,3556.02,48045644415
1603065600,10/19/2020,BTCKRW,13201000,13467000,13096000,13398000,2009.71,26599507931
1602979200,10/18/2020,BTCKRW,13060000,13216000,13050000,13201000,1111.52,14576058460
1602892800,10/17/2020,BTCKRW,13033000,13093000,12961000,13060000,1093.86,14260959238
1602806400,10/16/2020,BTCKRW,13220000,13280000,12901000,13033000,2464.45,32176845154
1602720000,10/15/2020,BTCKRW,13149000,13300000,12980000,13220000,2184.64,28614183012
1602633600,10/14/2020,BTCKRW,13109000,13242000,13008000,13149000,2317.97,30384917148
1602547200,10/13/2020,BTCKRW,13180000,13214000,13000000,13109000,2026.3,26580810248
1602460800,10/12/2020,BTCKRW,12925000,13320000,12860000,13180000,2852.99,37223546923
1602374400,10/11/2020,BTCKRW,12851000,12999000,12811000,12925000,1343.94,17355426598
1602288000,10/10/2020,BTCKRW,12624000,13014000,12620000,12851000,1836.99,23654581867
1602201600,10/9/2020,BTCKRW,12566000,12724000,12475000,12624000,1677.68,21134649423
1602115200,10/8/2020,BTCKRW,12410000,12650000,12270000,12566000,2093.84,26017293507
1602028800,10/7/2020,BTCKRW,12410000,12420000,12331000,12410000,1507.89,18646950551
1601942400,10/6/2020,BTCKRW,12529000,12545000,12319000,12410000,2033.44,25322588485
1601856000,10/5/2020,BTCKRW,12455000,12543000,12368000,12529000,1817.85,22636273442
1601769600,10/4/2020,BTCKRW,12385000,12497000,12350000,12455000,1073.92,13331793897
1601683200,10/3/2020,BTCKRW,12432000,12435000,12331000,12385000,1014.97,12564701585
1601596800,10/2/2020,BTCKRW,12435000,12469000,12225000,12432000,2141.92,26426398088
1601510400,10/1/2020,BTCKRW,12547000,12668000,12226000,12435000,2151.92,26859930580
1601424000,9/30/2020,BTCKRW,12598000,12603000,12450000,12547000,1575.5,19712191150
1601337600,9/29/2020,BTCKRW,12452000,12627000,12387000,12598000,2157.56,26890211445
1601251200,9/28/2020,BTCKRW,12500000,12695000,12429000,12452000,2599,32826205671
1601164800,9/27/2020,BTCKRW,12491000,12550000,12343000,12500000,1692.63,21078666496
1601078400,9/26/2020,BTCKRW,12441000,12550000,12420000,12491000,1400.37,17458864452
1600992000,9/25/2020,BTCKRW,12496000,12516000,12320000,12441000,2761.05,34270058006
1600905600,9/24/2020,BTCKRW,11949000,12545000,11909000,12496000,3202.55,38921467617
1600819200,9/23/2020,BTCKRW,12329000,12330000,11910000,11949000,2686.51,32686112278
1600732800,9/22/2020,BTCKRW,12271000,12367000,12103000,12329000,2836.54,34714541641
1600646400,9/21/2020,BTCKRW,12823000,12837000,12135000,12271000,3889.8,48548094984
1600560000,9/20/2020,BTCKRW,12919000,12919000,12640000,12823000,1709.84,21830319106
1600473600,9/19/2020,BTCKRW,12762000,13027000,12711000,12919000,1316.79,16887152169
